,8441,91.28,324.41,7475.45,6393.45,1202.26,673.73,-1065.13,1.29,0.65,1.12,402330.29,1833279.84,N   39 36 13.02,W   79 58 47.70
,8535,91.1,324.27,7473.5,6391.5,1295.94,750.09,-1119.92,0.24,-0.19,-0.15,402406.65,1833225.05,N   39 36 13.77,W   79 58 48.40
,8630,91.28,323.32,7471.53,6389.53,1390.69,826.73,-1176.02,1.02,0.19,-1,402483.28,1833168.95,N   39 36 14.53,W   79 58 49.12
,8725,90.92,323.6,7469.7,6387.7,1485.47,903.04,-1232.57,0.48,-0.38,0.29,402559.59,1833112.41,N   39 36 15.28,W   79 58 49.85
,8819,91.01,324.2,7468.12,6386.12,1579.22,978.98,-1287.95,0.65,0.1,0.64,402635.52,1833057.03,N   39 36 16.03,W   79 58 50.56
,8913,92.15,324.34,7465.53,6383.53,1672.89,1055.26,-1342.82,1.22,1.21,0.15,402711.8,1833002.17,N   39 36 16.78,W   79 58 51.27
,9008,91.28,324.06,7462.69,6380.69,1767.56,1132.28,-1398.36,0.96,-0.92,-0.29,402788.81,1832946.62,N   39 36 17.54,W   79 58 51.98
,9101,90.48,322.17,7461.26,6379.26,1860.39,1206.65,-1454.17,2.21,-0.86,-2.03,402863.17,1832890.82,N   39 36 18.27,W   79 58 52.70
,9196,90.92,324.34,7460.1,6378.1,1955.2,1282.76,-1511,2.33,0.46,2.28,402939.28,1832833.99,N   39 36 19.02,W   79 58 53.43
,9291,91.71,323.86,7457.92,6375.92,2049.9,1359.7,-1566.69,0.97,0.83,-0.51,403016.21,1832778.31,N   39 36 19.78,W   79 58 54.15
,9386,91.45,323.89,7455.3,6373.3,2144.63,1436.4,-1622.67,0.28,-0.27,0.03,403092.91,1832722.32,N   39 36 20.53,W   79 58 54.87
,9480,91.63,324.29,7452.77,6370.77,2238.32,1512.51,-1677.79,0.47,0.19,0.43,403169.01,1832667.22,N   39 36 21.28,W   79 58 55.58
,9575,91.8,324.9,7449.93,6367.93,2332.95,1589.9,-1732.8,0.67,0.18,0.64,403246.41,1832612.21,N   39 36 22.04,W   79 58 56.29
,9670,90.84,322.95,7447.74,6365.74,2427.67,1666.66,-1788.72,2.29,-1.01,-2.05,403323.16,1832556.29,N   39 36 22.80,W   79 58 57.01
,9765,90.57,322.42,7446.57,6364.57,2522.54,1742.21,-1846.31,0.63,-0.28,-0.56,403398.7,1832498.71,N   39 36 23.54,W   79 58 57.75
,9860,90.92,322.92,7445.33,6363.33,2617.41,1817.74,-1903.91,0.64,0.37,0.53,403474.23,1832441.11,N   39 36 24.28,W   79 58 58.49
,9954,90.13,322.97,7444.47,6362.47,2711.26,1892.76,-1960.55,0.84,-0.84,0.05,403549.24,1832384.47,N   39 36 25.02,W   79 58 59.22
,10049,90.22,324.03,7444.18,6362.18,2806.05,1969.12,-2017.06,1.12,0.09,1.12,403625.6,1832327.97,N   39 36 25.77,W   79 58 59.95
,10143,89.52,325.14,7444.4,6362.4,2899.72,2045.73,-2071.53,1.4,-0.74,1.18,403702.2,1832273.5,N   39 36 26.53,W   79 59   0.65
,10238,90.13,324.89,7444.69,6362.69,2994.32,2123.56,-2126,0.69,0.64,-0.26,403780.03,1832219.03,N   39 36 27.29,W   79 59   1.35
,10332,89.08,324.25,7445.33,6363.33,3087.99,2200.15,-2180.49,1.31,-1.12,-0.68,403856.62,1832164.55,N   39 36 28.05,W   79 59   2.05
,10426,90.4,323.91,7445.76,6363.76,3181.72,2276.27,-2235.63,1.45,1.4,-0.36,403932.73,1832109.41,N   39 36 28.80,W   79 59   2.76
,10521,90.04,323.18,7445.4,6363.4,3276.51,2352.68,-2292.08,0.86,-0.38,-0.77,404009.14,1832052.96,N   39 36 29.55,W   79 59   3.49
,10616,90.22,322.93,7445.18,6363.18,3371.36,2428.61,-2349.18,0.32,0.19,-0.26,404085.06,1831995.87,N   39 36 30.30,W   79 59   4.22
,10710,90.13,323.54,7444.89,6362.89,3465.19,2503.91,-2405.44,0.66,-0.1,0.65,404160.36,1831939.61,N   39 36 31.04,W   79 59   4.95
,10805,90.04,323.2,7444.75,6362.75,3560,2580.15,-2462.12,0.37,-0.09,-0.36,404236.59,1831882.93,N   39 36 31.79,W   79 59   5.68
